first_name,last_name,state,district,party,chamber
Brittany,Pettersen,Colorado,7,Democratic,House
Kevin,Mullin,California,15,Democratic,House
Kevin,Kiley,California,3,Republican,House
Sydney,Kamlager-Dove,California,37,Democratic,House
Robert,Garcia,California,42,Democratic,House
Elijah,Crane,Arizona,2,Republican,House
Juan,Ciscomani,Arizona,6,Republican,House
Aaron,Bean,Florida,4,Republican,House
Rudy,Yakym,Indiana,2,Republican,House
Brad,Finstad,Minnesota,1,Republican,House
Mike,Flood,Nebraska,1,Republican,House
Sheila,Cherfilus-McCormick,Florida,20,Democratic,House
Mike,Carey,Ohio,15,Republican,House
Shontel,Brown,Ohio,11,Democratic,House
Jake,Ellzey,Texas,6,Republican,House
Melanie,Stansbury,New Mexico,1,Democratic,House
Troy,Carter,Louisiana,2,Democratic,House
Julia,Letlow,Louisiana,5,Republican,House
Jay,Obernolte,California,23,Republican,House
Young,Kim,California,40,Republican,House
Beth,Van Duyne,Texas,24,Republican,House
Marilyn,Strickland,Washington,10,Democratic,House
Burgess,Owens,Utah,4,Republican,House
Troy,Nehls,Texas,22,Republican,House
Blake,Moore,Utah,1,Republican,House
Sara,Jacobs,California,51,Democratic,House
Ronny,Jackson,Texas,13,Republican,House
Tony,Gonzales,Texas,23,Republican,House
Scott,Fitzgerald,Wisconsin,5,Republican,House
Josh,Harder,California,9,Democratic,House
Greg,Stanton,Arizona,4,Democratic,House
Jimmy,Panetta,California,19,Democratic,House
Ted,Lieu,California,36,Democratic,House
Pete,Aguilar,California,33,Democratic,House
Mark,DeSaulnier,California,10,Democratic,House
Scott,Peters,California,50,Democratic,House
Juan,Vargas,California,52,Democratic,House
Mark,Takano,California,39,Democratic,House
Raul,Ruiz,California,25,Democratic,House
David,Valadao,California,22,Republican,House
Eric,Swalwell,California,14,Democratic,House
Ami,Bera,California,6,Democratic,House
John,Garamendi,California,8,Democratic,House
Judy,Chu,California,28,Democratic,House
David,Schweikert,Arizona,1,Republican,House
Paul,Gosar,Arizona,9,Republican,House
Tom,McClintock,California,5,Republican,House
Doris,Matsui,California,7,Democratic,House
Mike,Thompson,California,4,Democratic,House
Brad,Sherman,California,32,Democratic,House
Pete,Sessions,Texas,17,Republican,House
Darrell,Issa,California,48,Republican,House
Ken,Calvert,California,41,Republican,House
Zoe,Lofgren,California,18,Democratic,House
Nikema,Williams,Georgia,5,Democratic,House
Ritchie,Torres,New York,15,Democratic,House
Victoria,Spartz,Indiana,5,Republican,House
Maria,Salazar,Florida,27,Republican,House
Deborah,Ross,North Carolina,2,Democratic,House
August,Pfluger,Texas,11,Republican,House
Frank,Mrvan,Indiana,1,Democratic,House
Mary,Miller,Illinois,15,Republican,House
Tracey,Mann,Kansas,1,Republican,House
Nicole,Malliotakis,New York,11,Republican,House
Nancy,Mace,South Carolina,1,Republican,House
Teresa,Leger Fernandez,New Mexico,3,Democratic,House
Diana,Harshbarger,Tennessee,1,Republican,House
Andrew,Garbarino,New York,2,Republican,House
Michelle,Fischbach,Minnesota,7,Republican,House
Randy,Feenstra,Iowa,4,Republican,House
Pat,Fallon,Texas,4,Republican,House
Byron,Donalds,Florida,19,Republican,House
Andrew,Clyde,Georgia,9,Republican,House
Kat,Cammack,Florida,3,Republican,House
Stephanie,Bice,Oklahoma,5,Republican,House
Cliff,Bentz,Oregon,2,Republican,House
Jake,Auchincloss,Massachusetts,4,Democratic,House
Thomas,Tiffany,Wisconsin,7,Republican,House
Gregory,Murphy,North Carolina,3,Republican,House
Jared,Golden,Maine,2,Democratic,House
Bryan,Steil,Wisconsin,1,Republican,House
Kim,Schrier,Washington,8,Democratic,House
Sylvia,Garcia,Texas,29,Democratic,House
Chip,Roy,Texas,21,Republican,House
Veronica,Escobar,Texas,16,Democratic,House
Lizzie,Fletcher,Texas,7,Democratic,House
Lance,Gooden,Texas,5,Republican,House
John,Rose,Tennessee,6,Republican,House
Tim,Burchett,Tennessee,2,Republican,House
Dusty,Johnson,South Dakota,,Republican,House
William,Timmons,South Carolina,4,Republican,House
Guy,Reschenthaler,Pennsylvania,14,Republican,House
John,Joyce,Pennsylvania,13,Republican,House
Daniel,Meuser,Pennsylvania,9,Republican,House
Chrissy,Houlahan,Pennsylvania,6,Democratic,House
Madeleine,Dean,Pennsylvania,4,Democratic,House
Jefferson,Van Drew,New Jersey,2,Republican,House
Angie,Craig,Minnesota,2,Democratic,House
Jesús,García,Illinois,4,Democratic,House
Lloyd,Smucker,Pennsylvania,11,Republican,House
Dwight,Evans,Pennsylvania,3,Democratic,House
Brendan,Boyle,Pennsylvania,2,Democratic,House
Scott,Perry,Pennsylvania,10,Republican,House
Mike,Kelly,Pennsylvania,16,Republican,House
Glenn,Thompson,Pennsylvania,15,Republican,House
